NO	Lat	Location	Lon	Pl
1	24.24766	台中沿海	120.5352	0
2	24.0982	台中沿海	120.5479	0
3	24.1073	台中沿海	120.5627	0
4	24.11219	台中沿海	120.5673	0
5	24.1182	台中沿海	120.5759	0
6	24.11833	台中沿海	120.5768	0
7	24.08456	台中沿海	120.5978	0
8	24.3631	台中沿海	120.68	0
9	24.44913	台中沿海	120.655	5.31
10	24.19655	台中沿海	120.5478	6.12
11	24.25099	台中沿海	120.5366	6.7
12	24.21635	台中沿海	120.5222	7.2
13	24.20491	台中沿海	120.5167	9.9
14	24.1956	台中沿海	120.51	12.17
15	24.2419	台中沿海	120.5328	16.86
16	24.25748	台中沿海	120.5394	19.01
17	24.21201	台中沿海	120.5201	21.53
18	24.27228	台中沿海	120.5462	23.11
19	24.29014	台中沿海	120.5511	26.15
20	24.26894	台中沿海	120.5438	34.32
21	24.2936	台中沿海	120.5531	37.96
22	24.2384	台中沿海	120.5313	44.62
23	24.28457	台中沿海	120.5499	45.34
24	24.26193	台中沿海	120.541	46.75
25	24.25447	台中沿海	120.5382	47.93
26	24.28276	台中沿海	120.5477	49.95
27	24.29631	台中沿海	120.5529	54.99
28	24.18011	台中盆地	120.6415	0
29	23.96845	台中盆地	120.6484	0
30	23.97277	台中盆地	120.649	0
31	23.99563	台中盆地	120.6505	0
32	23.99429	台中盆地	120.6509	0
33	24.0065	台中盆地	120.6511	0
34	23.98079	台中盆地	120.6517	0
35	23.98137	台中盆地	120.6523	0
36	23.95627	台中盆地	120.6525	0
37	23.9565	台中盆地	120.6525	0
38	23.98252	台中盆地	120.6526	0
39	24.20376	台中盆地	120.6533	0
40	23.96065	台中盆地	120.6534	0
41	24.00409	台中盆地	120.6537	0
42	23.95647	台中盆地	120.6541	0
43	23.96071	台中盆地	120.6542	0
44	23.95707	台中盆地	120.6543	0
45	24.00802	台中盆地	120.6545	0
46	24.00571	台中盆地	120.6547	0
47	24.206	台中盆地	120.6561	0
48	24.20538	台中盆地	120.6569	0
49	23.9573	台中盆地	120.657	0
50	24.01106	台中盆地	120.6577	0
51	23.95649	台中盆地	120.6585	0
52	23.9561	台中盆地	120.6603	0
53	23.95586	台中盆地	120.6605	0
54	23.95589	台中盆地	120.6632	0
55	24.20948	台中盆地	120.6653	0
56	24.21281	台中盆地	120.6715	0
57	24.21563	台中盆地	120.6753	0
58	24.21588	台中盆地	120.6757	0
59	23.928	台中盆地	120.6812	0
60	23.92539	台中盆地	120.6818	0
61	23.92444	台中盆地	120.6823	0
62	24.11516	台中盆地	120.684	0
63	24.14596	台中盆地	120.6842	0
64	24.15952	台中盆地	120.6842	0
65	23.92132	台中盆地	120.6852	0
66	23.98281	台中盆地	120.6877	0
67	24.23902	台中盆地	120.689	0
68	24.24736	台中盆地	120.69	0
69	24.26855	台中盆地	120.6941	0
70	24.28707	台中盆地	120.6946	0
71	24.17751	台中盆地	120.6996	0
72	24.06839	台中盆地	120.7009	0
73	23.86496	台中盆地	120.7027	0
74	23.86936	台中盆地	120.7051	0
75	23.87374	台中盆地	120.7066	0
76	23.87614	台中盆地	120.7073	0
77	24.13373	台中盆地	120.7173	0
78	24.24718	台中盆地	120.7286	0
79	24.13376	台中盆地	120.7341	0
80	24.15807	台中盆地	120.7371	0
81	23.95686	台中盆地	120.6579	0.58
82	23.87705	台中盆地	120.7074	1.41
83	24.1523	台中盆地	120.6197	2
84	23.99734	台中盆地	120.6583	2.92
85	23.87426	台中盆地	120.7064	2.95
86	23.95867	台中盆地	120.6545	3.79
87	23.95059	台中盆地	120.673	4.21
88	23.87319	台中盆地	120.707	6.11
89	23.95745	台中盆地	120.6558	7.17
90	23.92012	台中盆地	120.6871	8.08
91	23.87657	台中盆地	120.6925	8.9
92	24.05655	台中盆地	120.6998	9.81
93	23.90657	台中盆地	120.6835	10.47
94	23.9076	台中盆地	120.6994	11.95
95	24.05195	台中盆地	120.6937	12.65
96	23.92925	台中盆地	120.6809	13.81
97	24.05639	台中盆地	120.6759	14.3
98	24.05655	台中盆地	120.6998	16.3
99	23.91872	台中盆地	120.6891	16.91
100	24.08785	台中盆地	120.6441	17.5
101	23.96937	台中盆地	120.6487	18.75
102	24.10805	台中盆地	120.6238	18.86
103	23.96034	台中盆地	120.6524	19.91
104	23.87155	台中盆地	120.7054	20.2
105	23.91772	台中盆地	120.6902	22.59
106	23.94257	台中盆地	120.6722	26.65
107	23.91036	台中盆地	120.6997	26.98
108	23.91477	台中盆地	120.6925	28.11
109	23.93641	台中盆地	120.6781	29.39
110	23.93795	台中盆地	120.6768	30.14
111	23.93888	台中盆地	120.6755	31.58
112	23.94836	台中盆地	120.667	32.73
113	23.91195	台中盆地	120.6967	33.11
114	23.90374	台中盆地	120.705	34.66
115	23.91596	台中盆地	120.6916	37.56
116	23.94164	台中盆地	120.6728	38.8
117	23.93168	台中盆地	120.6803	41.94
118	23.92046	台中盆地	120.6861	43.35
119	23.90861	台中盆地	120.7017	44.12
120	23.93384	台中盆地	120.6795	48.28
121	23.93045	台中盆地	120.6807	52.15
122	23.94378	台中盆地	120.6719	55.98
123	23.91107	台中盆地	120.6979	57.81
124	23.93278	台中盆地	120.6801	60.13
125	25.00519	台北盆地	121.4124	0
126	25.0046	台北盆地	121.4161	0
127	25.00448	台北盆地	121.4172	0
128	25.01526	台北盆地	121.4175	0
129	25.00437	台北盆地	121.4184	0
130	25.01317	台北盆地	121.4191	0
131	25.00931	台北盆地	121.4221	0
132	25.00339	台北盆地	121.4224	0
133	25.00864	台北盆地	121.4227	0
134	25.00368	台北盆地	121.4232	0
135	25.00724	台北盆地	121.4234	0
136	24.98601	台北盆地	121.4237	0
137	25.00367	台北盆地	121.4237	0
138	24.98552	台北盆地	121.4238	0
139	24.98762	台北盆地	121.4238	0
140	24.98576	台北盆地	121.4239	0
141	25.00672	台北盆地	121.424	0
